id_author,label_author
1,"""Termite"" Terry Singleton"
2,#ΟΝΟΜΑ?
3,(Chef) Dominique Ansel
4,(ISC)Β² Corporate
5,"(John D,) J, D, Turner"
6,(Journalist) David Epstein
7,(Journalist) Leigh Gallagher
8,"(K,O,B,) Kayy0hBee"
9,(Musician) KRS-One
10,(Musician) Sting
11,(Psychotherapist) Richard O'Connor
12,(ζ—¥)ι«ι‡ε’ζ
13,", Aaos"
14,", Annie's"
15,", Buronson,Hara, Tetsuo"
16,", ONE"
17,", Patabot"
18,", Reemus"
19,", The Arbinger Institute"
20,",Ψ¬, Ωƒ Ψ±ΩΩ„ΩΩ†Ψ¬"
21,@keto_con_laura
22,1:Dominique Lapierre | Larry Collins | 2:Adolfo MartΓ­n
23,123VIETNAMESE LANGUAGE CENTER
24,13 Pitch Black Cats
25,"1849-1914 Riis, Jacob A, (Jacob August)"
26,"1881-1975 Wodehouse, P, G, (Pelham Grenville)"
27,1st Echo Publishing
28,200 Funfacts
29,21 Exercises
30,2600 Magazine
31,30 Bird Media
32,3dtotal Publishing
33,50 Cent
34,"50minutes,"
35,99U
36,A B Jamieson
37,"A Gentry, John"
38,a gratetful slave anonymous
39,A J Wills
40,A Jade
41,A LeRoy
42,A Priest
43,"A Tanzil, Sakinah"
44,A Trevena
45,A W NIENOW
46,A Wesley Burks
47,A Zun Mo
48,"A, A, BΓΌhlmann"
49,"A, A, Chadwick"
50,"A, A, Gill"
51,"A, A, Long"
52,"A, A, Milne"
53,"A, Abby Knoblauch"
54,"A, American"
55,"A, ANAND KUMAR"
56,"A, B, Greenfield"
57,"A, B, Roveen"
58,"A, Benjamin Spencer"
59,"A, Blossom"
60,"A, Brad Schwartz"
61,"A, Briar"
62,"A, C, Bhaktivedanta Swami PrabhupΔda"
63,"A, C, Grayling"
64,"A, Chadwick Thornhill"
65,"A, Colin Cameron"
66,"A, D, Aleksandrov"
67,"A, D, Craig"
68,"A, E, Hotchner"
69,"A, E, van Vogt"
70,"A, E, Wasp"
71,"A, F, J, Levi"
72,"A, F, Kay"
73,"A, Freya Thimsen"
74,"A, G, Howard"
75,"A, G, Lafley"
76,"A, G, Riddle"
77,"A, Goswami"
78,"A, H, Almaas"
79,"A, H, Lee"
80,"A, Harrison Barnes"
81,"A, Helwa"
82,"A, Hoehling"
83,"A, J, Baime"
84,"A, J, Balaam"
85,"A, J, Finn"
86,"A, J, Hackwith"
87,"A, J, Jacobs"
88,"A, J, Liebling"
89,"A, J, Mackinnon"
90,"A, J, Manney"
91,"A, J, Park"
92,"A, J, Paron-Wildes"
93,"A, James Kolar"
94,"A, Javier Trevino"
95,"A, John Bailer"
96,"A, Jon Kimerling"
97,"A, K, Caggiano"
98,"A, K, Larkwood"
99,"A, K, Pradeep"
100,"A, K, Steel"
101,"A, K, Turner"
102,"A, Ka Tat Tsang"
103,"A, Keith Young"
104,"A, L, Graziadei"
105,"A, L, Norton"
106,"A, L, Tippett"
107,"A, L, Todd"
108,"A, Little"
109,"A, Lynn Bolles"
110,"A, Lynn Williams"
111,"A, M, McCoy"
112,"A, M, Ruppel"
113,"A, M, Sohma"
114,"A, M, Wilson"
115,"A, Marie"
116,"A, Maurice Jones Jr,"
117,"A, Michael Dougherty"
118,"A, Michael Richards"
119,"A, Mitchell Polinsky"
120,"A, N, Roquelaure"
121,"A, Natasha Joukovsky"
122,"A, O, Scott"
123,"A, Parthasarathy"
124,"A, Poland"
125,"A, R, Disney"
126,"A, R, Torre"
127,"A, Rahema Mooltrey LCSW MEd"
128,"A, Rubin, Rita"
129,"A, Ryanskiy"
130,"A, S, A, Harrison"
131,"A, S, King"
132,"A, Scott Berg"
133,"A, Scott Moreau"
134,"A, Siringo, Charles"
135,"A, Trevor Thrall"
136,"A, Victor Coonin"
137,"A, W, Jantha"
138,"A, W, Tozer"
139,"A, Wade Boykin"
140,"A, Winchester"
141,"A, X, Foster"
142,"A, Zavarelli"
143,"A,A, Albright"
144,"A,A, Gill"
145,"A,A, Milne"
146,"A,A, Zicard"
147,"A,C, Arthur"
148,"A,C, BHAKTIVEDANTA SWAMI PRABHUPADA"
149,"A,C, Hamilton"
150,"A,C, Katt"
151,"A,C, Pritchard"
152,"A,C, Taylor"
153,"A,C, Winklier"
154,"A,C, Wise"
155,"A,D, Ellis"
156,"A,D, Justice"
157,"A,D, McCammon"
158,"A,E Colonna"
159,"A,E, Baker"
160,"A,E, Bennett"
161,"A,E, Colonna"
162,"A,E, Jensen"
163,"A,E, Madsen"
164,"A,E, Rayne"
165,"A,E, Valdez"
166,"A,E, Via"
167,"A,E, Wasp"
168,"A,F, Steadman"
169,"A,G, Riddle"
170,"A,G, Slatter"
171,"A,G, Wilde"
172,"A,H, Cunningham"
173,"A,I, Rusakov"
174,"A,J, Baime"
175,"A,J, Bellido de Luna"
176,"A,J, Cane"
