id_date,label_publishedDate,label_year,label_month,label_monthName,label_decade
1,2019-04-23,2019,4,April,2010
23,2019-03-19,2019,3,March,2010
34,2019-05-06,2019,5,May,2010
41,2019-05-07,2019,5,May,2010
54,2019-08-02,2019,8,August,2010
76,2019-08-03,2019,8,August,2010
108,2019-10-05,2019,10,October,2010
134,2019-03-01,2019,3,March,2010
155,2019-03-28,2019,3,March,2010
184,2019-03-09,2019,3,March,2010
205,2019-01-11,2019,1,January,2010
233,2019-04-13,2019,4,April,2010
247,2019-08-09,2019,8,August,2010
298,2019-06-20,2019,6,June,2010
301,2019-05-09,2019,5,May,2010
341,2019-09-14,2019,9,September,2010
345,2019-06-18,2019,6,June,2010
362,2019-05-04,2019,5,May,2010
405,2019-02-06,2019,2,February,2010
412,2019-10-27,2019,10,October,2010
466,2019-03-18,2019,3,March,2010
470,2019-10-06,2019,10,October,2010
501,2019-12-17,2019,12,December,2010
510,2019-01-01,2019,1,January,2010
533,2019-04-04,2019,4,April,2010
536,2019-05-08,2019,5,May,2010
541,2019-03-04,2019,3,March,2010
550,2019-03-03,2019,3,March,2010
559,2019-07-28,2019,7,July,2010
581,2019-06-19,2019,6,June,2010
587,2019-12-07,2019,12,December,2010
590,2019-12-25,2019,12,December,2010
606,2019-06-05,2019,6,June,2010
659,2019-03-07,2019,3,March,2010
676,2019-01-15,2019,1,January,2010
712,2019-08-10,2019,8,August,2010
734,2019-09-26,2019,9,September,2010
743,2019-04-12,2019,4,April,2010
747,2019-03-27,2019,3,March,2010
752,2019-05-16,2019,5,May,2010
803,2019-12-10,2019,12,December,2010
841,2019-08-27,2019,8,August,2010
850,2019-11-03,2019,11,November,2010
875,2019-06-24,2019,6,June,2010
877,2019-04-06,2019,4,April,2010
883,2019-03-02,2019,3,March,2010
894,2019-11-21,2019,11,November,2010
904,2019-12-02,2019,12,December,2010
920,2019-11-22,2019,11,November,2010
927,2019-10-23,2019,10,October,2010
941,2019-07-30,2019,7,July,2010
944,2019-11-04,2019,11,November,2010
994,2019-11-05,2019,11,November,2010
1007,2019-02-02,2019,2,February,2010
1062,2019-06-23,2019,6,June,2010
1069,2019-12-21,2019,12,December,2010
1077,2019-05-22,2019,5,May,2010
1088,2019-07-29,2019,7,July,2010
1102,2019-02-01,2019,2,February,2010
1147,2019-03-11,2019,3,March,2010
1149,2019-06-01,2019,6,June,2010
1160,2019-08-28,2019,8,August,2010
1171,2019-03-13,2019,3,March,2010
1197,2019-11-13,2019,11,November,2010
1255,2019-07-03,2019,7,July,2010
1256,2019-09-27,2019,9,September,2010
1262,2019-12-28,2019,12,December,2010
1292,2019-08-05,2019,8,August,2010
1313,2019-05-02,2019,5,May,2010
1321,2019-08-30,2019,8,August,2010
1376,2019-02-04,2019,2,February,2010
1395,2019-06-22,2019,6,June,2010
1475,2019-07-02,2019,7,July,2010
1521,2019-12-27,2019,12,December,2010
